iter	Passed	Remaining
0	391	391010
1	719	359260
2	1103	366773
3	1496	372689
4	1897	377661
5	2270	376118
6	2613	370694
7	2950	365846
8	3317	365307
9	3705	366809
10	4055	364651
11	4429	364695
12	4770	362154
13	4981	350834
14	5344	350927
15	5690	349935
16	6047	349704
17	6417	350126
18	6783	350240
19	7183	351989
20	7587	353737
21	7961	353917
22	8338	354217
23	8670	352587
24	9060	353356
25	9388	351699
26	9725	350473
27	10059	349212
28	10433	349347
29	10793	348982
30	11160	348853
31	11508	348138
32	11870	347846
33	12207	346822
34	12551	346059
35	12954	346890
36	13368	347943
37	13771	348640
38	14132	348232
39	14519	348458
40	14893	348355
41	15242	347677
42	15638	348049
43	15958	346725
44	16327	346497
45	16742	347224
46	17125	347254
47	17558	348252
48	17931	348008
49	18387	349363
50	18824	350281
51	19267	351269
52	19324	345289
53	19655	344331
54	20068	344813
55	20501	345594
56	20945	346525
57	21360	346920
58	21769	347209
59	22157	347137
60	22632	348397
61	23144	350149
62	23556	350360
63	24026	351391
64	24509	352555
65	24972	353404
66	25438	354234
67	25893	354888
68	26330	355268
69	26767	355620
70	27193	355817
71	27703	357064
72	28155	357541
73	28603	357935
74	29074	358590
75	29549	359256
76	30011	359745
77	30479	360288
78	30989	361284
79	31400	361103
80	31838	361233
81	32198	360468
82	32640	360613
83	33031	360200
84	33420	359763
85	33775	358967
86	34159	358479
87	34508	357635
88	34955	357797
89	35347	357397
90	35742	357036
91	36156	356847
92	36531	356275
93	36942	356060
94	37281	355153
95	37661	354646
96	38040	354125
97	38414	353571
98	38831	353405
99	39140	352268
100	39563	352157
101	39923	351481
102	40344	351349
103	40777	351312
104	41202	351204
105	41703	351728
106	42191	352125
107	42676	352476
108	43071	352080
109	43526	352171
110	43949	351993
111	44411	352122
112	44818	351806
113	45243	351633
114	45639	351228
115	46047	350914
116	46461	350647
117	46854	350216
118	47269	349956
119	47709	349873
120	48129	349635
121	48585	349653
122	49051	349738
123	49479	349547
124	49867	349075
125	50307	348956
126	50643	348123
127	51013	347528
128	51386	346959
129	51729	346192
130	52153	345965
131	52532	345437
132	52960	345241
133	53364	344878
134	53769	344523
135	54175	344174
136	54581	343820
137	54981	343435
138	55305	342573
139	55679	342034
140	56039	341405
141	56067	338776
142	56472	338439
143	56874	338090
144	57288	337802
145	57777	337958
146	58192	337673
147	58613	337423
148	58967	336786
149	59363	336393
150	59786	336153
151	60164	335654
152	60588	335414
153	60960	334885
154	61350	334459
155	61771	334201
156	62170	333819
157	62580	333498
158	62923	332819
159	63300	332325
160	63734	332134
161	64130	331736
162	64554	331485
163	64992	331304
164	65389	330909
165	65849	330833
166	66282	330620
167	66733	330489
168	67124	330061
169	67532	329718
170	67929	329319
171	68344	329007
172	68771	328750
173	69107	328060
174	69535	327812
175	69949	327488
176	70371	327205
177	70748	326714
178	71156	326365
179	71548	325943
180	71909	325380
181	72290	324909
182	72679	324474
183	73070	324053
184	73480	323712
185	73875	323306
186	74281	322946
187	74683	322568
188	75097	322245
189	75523	321969
190	75931	321617
191	76311	321146
192	76722	320803
193	77135	320468
194	77526	320044
195	77937	319701
196	78308	319198
197	78716	318842
198	79055	318208
199	79432	317729
200	79782	317146
201	80164	316690
202	80545	316230
203	80929	315782
204	81309	315323
205	81722	314990
206	82132	314643
207	82564	314378
208	82945	313923
209	83359	313589
210	83758	313200
211	84109	312631
212	84522	312298
213	84824	311551
214	85239	311223
215	85652	310887
216	86004	310329
217	86413	309979
218	86856	309749
219	87284	309464
220	87605	308798
221	87987	308351
222	88340	307806
223	88694	307263
224	89100	306903
225	89527	306610
226	89934	306251
227	90277	305677
228	90718	305432
229	91188	305282
230	91613	304981
231	92009	304584
232	92501	304500
233	92933	304218
234	93370	303952
235	93783	303602
236	94184	303218
237	94554	302733
238	95002	302496
239	95407	302122
240	95819	301770
241	96251	301481
242	96659	301114
243	97006	300562
244	97370	300059
245	97760	299640
246	98136	299176
247	98567	298881
248	98969	298497
249	99393	298179
250	99782	297758
251	100191	297393
252	100597	297022
253	101019	296693
254	101372	296166
255	101744	295695
256	102148	295316
257	102551	294935
258	102935	294497
259	103278	293946
260	103691	293595
261	104098	293223
262	104516	292885
263	104835	292267
264	105266	291966
265	105610	291422
266	106018	291055
267	106422	290676
268	106722	290015
269	107123	289629
