iter	Accuracy	MultiClass
0	0.7390782828	1.047604662
1	0.7440656566	1.002835728
2	0.7456228956	0.9644400209
3	0.7475378788	0.9309062771
4	0.7501052189	0.9008233108
5	0.7511784512	0.8739981858
6	0.7515361953	0.8501955733
7	0.7527356902	0.8283200148
8	0.7529040404	0.8086554195
9	0.7548400673	0.7904585163
10	0.7557239057	0.7735061904
11	0.7579755892	0.7573304234
12	0.7589856902	0.7426001858
13	0.7590909091	0.730396445
14	0.7609217172	0.7177903865
15	0.7622474747	0.7060937352
16	0.7632996633	0.6959070633
17	0.7637626263	0.6860999683
18	0.7651304714	0.6766260882
19	0.7659511785	0.6685417098
20	0.7673190236	0.6609563248
21	0.7682449495	0.653126864
22	0.7686447811	0.6461985956
23	0.7697180135	0.6397093197
24	0.7700968013	0.6333409959
25	0.7710648148	0.6270059095
26	0.7727272727	0.6209818692
27	0.7739057239	0.6153524281
28	0.7752314815	0.6098974569
29	0.7757154882	0.6050802375
30	0.7762626263	0.6005514415
31	0.7770622896	0.5962944104
32	0.7777146465	0.5923637794
33	0.778766835	0.5885156751
34	0.7797348485	0.5847901163
35	0.7797348485	0.5816628633
36	0.77996633	0.5786544422
37	0.7800505051	0.5758631061
38	0.7807659933	0.5728475279
39	0.7815446128	0.5700229738
40	0.7821127946	0.5675417655
41	0.7827651515	0.564855972
42	0.783270202	0.5628300731
43	0.7836489899	0.5606635084
44	0.7840909091	0.5581431645
45	0.7848274411	0.5561775882
46	0.7850378788	0.5539004203
47	0.7856902357	0.5518258088
48	0.7858164983	0.5500426095
49	0.7864688552	0.5482953901
50	0.7868476431	0.5467960185
51	0.7871632997	0.5450324182
52	0.7871632997	0.544561542
53	0.7884048822	0.5425015136
54	0.7890782828	0.5407295775
55	0.7894991582	0.5391125498
56	0.7896675084	0.5375765337
57	0.7900462963	0.5360393116
58	0.7901936027	0.5348499157
59	0.7902146465	0.5336954313
60	0.7904250842	0.5326136804
61	0.7909090909	0.5312731317
62	0.791540404	0.5298550809
63	0.7918981481	0.5289193891
64	0.7925294613	0.5277540823
65	0.7927188552	0.5261714436
66	0.7931818182	0.5250654249
67	0.7938973064	0.5238601644
68	0.7942760943	0.5225600134
69	0.7946548822	0.5211272761
70	0.7952861953	0.5202133029
71	0.7955597643	0.5193930524
72	0.7961910774	0.5183571634
73	0.7961489899	0.5174636369
74	0.7963804714	0.5163012981
75	0.7965488215	0.5150861157
76	0.7968223906	0.5143070123
77	0.7973905724	0.5129174318
78	0.7978535354	0.5116328608
79	0.7981691919	0.5104129407
80	0.7984848485	0.5095185801
81	0.79871633	0.5087926938
82	0.7988846801	0.5080155858
83	0.7992213805	0.5068515156
84	0.7994318182	0.5059787066
85	0.7996843434	0.5053569315
86	0.7998106061	0.5046134032
87	0.8001473064	0.5039427393
88	0.8003367003	0.503276235
89	0.8003156566	0.5028324314
90	0.800736532	0.5020533659
91	0.8009680135	0.5011624448
92	0.8010942761	0.5005961835
93	0.8011363636	0.4999675858
94	0.8012205387	0.4993292788
95	0.8015151515	0.4986267341
96	0.8015993266	0.4976112316
97	0.8017255892	0.4969467083
98	0.8021885522	0.4960723332
99	0.802209596	0.4957350829
100	0.8022516835	0.4951673989
101	0.8026725589	0.494422734
102	0.8030092593	0.49382748
103	0.8030513468	0.4933232792
104	0.8031565657	0.4929743158
105	0.8037878788	0.4921329824
106	0.803956229	0.4911750691
107	0.8041666667	0.4905157725
108	0.8043560606	0.4898992291
109	0.8047138047	0.4893870451
110	0.8049031987	0.488862119
111	0.8051557239	0.4883611338
112	0.8054713805	0.4873483059
113	0.8055555556	0.486882785
114	0.8055976431	0.4863714273
115	0.8057659933	0.4862123665
116	0.805976431	0.4856632817
117	0.8060606061	0.4852181728
118	0.8059132997	0.4851118026
119	0.8062710438	0.4846072763
120	0.8063341751	0.4842708884
121	0.8065656566	0.4837254857
122	0.806712963	0.4833700668
123	0.8070075758	0.4829571939
124	0.806986532	0.4822695889
125	0.807260101	0.4816439473
126	0.8073021886	0.4811281202
127	0.8075547138	0.4805414521
128	0.8078493266	0.479724577
129	0.8081018519	0.4793450097
130	0.8082281145	0.4789112174
131	0.8083122896	0.4783147526
132	0.8082281145	0.4780537858
133	0.8088173401	0.4776985613
134	0.8089856902	0.4771031679
135	0.8091750842	0.4767491796
136	0.8092171717	0.4762519447
137	0.8094486532	0.4758867967
138	0.8097011785	0.475380635
139	0.8098695286	0.4747334883
140	0.8098484848	0.4744649358
141	0.8099326599	0.4744501772
142	0.8097853535	0.4741977234
143	0.810016835	0.4739515102
144	0.8101430976	0.4733781956
145	0.8104166667	0.4729553191
146	0.8104377104	0.4725305208
147	0.8105850168	0.472419179
148	0.8107954545	0.4717642843
149	0.8110690236	0.4714218332
150	0.8111111111	0.4709299396
151	0.8116161616	0.470280875
152	0.8116372054	0.469678774
153	0.811952862	0.4692663188
154	0.8122053872	0.4688218618
155	0.8122685185	0.4681417468
156	0.8123106061	0.4678597804
157	0.8123106061	0.467486463
158	0.8125420875	0.4672550679
159	0.8126052189	0.4667916643
160	0.8126893939	0.46644154
161	0.8127946128	0.4659243849
162	0.8128367003	0.4655836828
163	0.8133207071	0.4650598717
164	0.8137205387	0.4645031588
165	0.8138888889	0.4642708744
166	0.8139099327	0.4639043445
167	0.8141835017	0.4635821825
168	0.8144149832	0.4632866991
169	0.8144991582	0.4626227146
170	0.8149410774	0.462146943
171	0.814793771	0.4619663897
172	0.8148148148	0.4616714956
173	0.8148779461	0.4614424736
174	0.8148358586	0.4609388093
175	0.8151304714	0.4605369018
176	0.8151304714	0.4603517218
177	0.8154250842	0.4598354178
178	0.8156355219	0.4592253193
179	0.8156776094	0.458893008
180	0.8159511785	0.458593725
181	0.8161616162	0.4580562172
182	0.8163720539	0.4576529349
183	0.8166245791	0.457353835
184	0.8167929293	0.4571115018
185	0.8168981481	0.4569723235
186	0.8170875421	0.4564421619
187	0.8175084175	0.455979192
188	0.8175505051	0.4558175057
189	0.8178451178	0.4553456991
190	0.8177819865	0.454740077
191	0.8180765993	0.4540655571
192	0.818202862	0.4539092358
193	0.8184553872	0.4534936545
194	0.8186658249	0.4530506591
195	0.8189814815	0.4525712456
196	0.819297138	0.4519142389
197	0.8194654882	0.4516175698
198	0.8195496633	0.4513693774
199	0.819760101	0.4507795458
200	0.819760101	0.4502703481
201	0.8197811448	0.4499841416
202	0.8202441077	0.4493732165
203	0.8201809764	0.44910001
204	0.8203914141	0.4488715194
205	0.8208122896	0.4484137452
206	0.8208964646	0.4482135171
207	0.8208754209	0.4479185903
208	0.8211489899	0.4476889324
209	0.8213594276	0.4471967992
210	0.8213804714	0.446862293
211	0.8216119529	0.4464301469
212	0.8217382155	0.4461871404
213	0.8218855219	0.4459336541
214	0.821780303	0.4455850054
215	0.8220117845	0.4453601127
216	0.821969697	0.4449668879
217	0.8220538721	0.4444397455
218	0.822516835	0.4438559591
219	0.8224537037	0.4435601526
220	0.822706229	0.4433936552
221	0.8229587542	0.4430735885
222	0.8230850168	0.4427916447
223	0.8230429293	0.4424924412
224	0.8232744108	0.4423573788
225	0.8233164983	0.4421361471
226	0.8235479798	0.4419134162
227	0.823526936	0.4416463938
228	0.8235058923	0.4411533381
229	0.8236952862	0.4408980851
230	0.8240109428	0.4404510616
231	0.823989899	0.4402925067
232	0.8244739057	0.4398969592
233	0.8246212121	0.4393784217
234	0.8247895623	0.4387286058
235	0.8247895623	0.4384404469
236	0.8250631313	0.4380311853
237	0.8251473064	0.4377421058
