iter	Passed	Remaining
0	380	380161
1	766	382237
2	1143	379993
3	1481	368907
4	1864	370960
5	2172	359890
6	2565	363927
7	2911	360966
8	3245	357394
9	3566	353064
10	3903	350985
11	4239	349088
12	4602	349439
13	4958	349253
14	5301	348134
15	5651	347560
16	6014	347758
17	6326	345157
18	6667	344244
19	6796	333015
20	7137	332727
21	7508	333797
22	7886	335011
23	8228	334637
24	8567	334116
25	8959	335651
26	9341	336653
27	9708	337036
28	10074	337331
29	10475	338711
30	10849	339145
31	11282	341288
32	11641	341132
33	11978	340337
34	12372	341129
35	12823	343382
36	13231	344380
37	13611	344585
38	14032	345773
39	14440	346563
40	14860	347587
41	15227	347321
42	15614	347523
43	15963	346843
44	16306	346064
45	16706	346487
46	17108	346902
47	17481	346723
48	17815	345763
49	18162	345081
50	18532	344841
51	18913	344811
52	19301	344877
53	19694	345016
54	20034	344226
55	20368	343346
56	20778	343762
57	21119	343007
58	21493	342796
59	21825	341930
60	22175	341353
61	22520	340712
62	22873	340201
63	23206	339391
64	23531	338496
65	23915	338435
66	24289	338233
67	24610	337304
68	25016	337545
69	25419	337710
70	25808	337696
71	26231	338096
72	26600	337795
73	27023	338158
74	27402	337967
75	27824	338287
76	28235	338464
77	28565	337663
78	28986	337934
79	29364	337690
80	29765	337704
81	30135	337370
82	30515	337140
83	30921	337188
84	31328	337240
85	31728	337207
86	32100	336871
87	32474	336554
88	32833	336085
89	33232	336021
90	33566	335292
91	33969	335267
92	34340	334907
93	34744	334876
94	35145	334802
95	35534	334613
96	35913	334329
97	36299	334103
98	36696	333976
99	37062	333560
100	37476	333578
101	37823	332997
102	38246	333080
103	38656	333037
104	39030	332689
105	39439	332632
106	39828	332398
107	40205	332065
108	40531	331316
109	40922	331104
110	41259	330449
111	41579	329669
112	41931	329142
113	42341	329075
114	42743	328941
115	43113	328555
116	43480	328147
117	43882	328002
118	44293	327923
119	44691	327739
120	45107	327682
121	45464	327196
122	45881	327141
123	46261	326818
124	46613	326295
125	46990	325948
126	47400	325830
127	47756	325340
128	48178	325300
129	48578	325104
130	48973	324868
131	49360	324581
132	49751	324318
133	50155	324139
134	50524	323729
135	50940	323622
136	51285	323061
137	51685	322845
138	52060	322477
139	52467	322297
140	52841	321923
141	53238	321682
142	53642	321477
143	54038	321228
144	54444	321033
145	54826	320694
146	55225	320456
147	55648	320353
148	56044	320091
149	56398	319594
150	56817	319457
151	57220	319230
152	57617	318967
153	57961	318409
154	58327	317978
155	58740	317801
156	59129	317493
157	59533	317259
158	59927	316974
159	60332	316746
160	60679	316211
161	61078	315949
162	61421	315397
163	61833	315201
164	62199	314768
165	62608	314552
166	63003	314260
167	63376	313862
168	63768	313561
169	64145	313182
170	64550	312938
171	64917	312508
172	65285	312088
173	65712	311943
174	66093	311581
175	66493	311312
176	66905	311091
177	67303	310806
178	67629	310188
179	68060	310052
180	68388	309447
181	68718	308855
182	69133	308644
183	69529	308349
184	69934	308089
185	70252	307447
186	70589	306894
187	70664	305211
188	71078	304996
189	71454	304619
190	71818	304194
191	72211	303892
192	72588	303516
193	72999	303286
194	73393	302985
195	73791	302695
196	74209	302486
197	74612	302219
198	75028	301999
199	75429	301716
200	75845	301494
201	76225	301128
202	76601	300744
203	76976	300361
204	77376	300070
205	77715	299544
206	78122	299280
207	78533	299030
208	78898	298606
209	79233	298070
210	79631	297770
211	80045	297527
212	80395	297046
213	80814	296821
214	81220	296548
215	81615	296235
216	81998	295873
217	82408	295611
218	82799	295280
219	83205	295000
220	83522	294408
221	83878	293953
222	84271	293626
223	84642	293227
224	85058	292978
225	85445	292633
226	85870	292415
227	86245	292024
228	86613	291610
229	86983	291205
230	87345	290773
231	87756	290504
232	88094	289993
233	88497	289695
234	88788	289036
235	89195	288750
236	89609	288490
237	89985	288104
238	90399	287842
239	90786	287490
240	91151	287071
241	91535	286711
242	91942	286422
243	92322	286047
244	92701	285671
245	93077	285286
246	93435	284845
247	93821	284489
248	94189	284081
249	94602	283806
250	94935	283293
251	95265	282772
252	95673	282483
253	96047	282093
254	96420	281699
255	96823	281393
256	97189	280979
257	97597	280686
258	97963	280273
259	98355	279933
260	98760	279631
261	99162	279320
262	99528	278906
263	99930	278592
264	100290	278162
265	100678	277811
266	101083	277506
267	101421	277016
268	101802	276645
269	102193	276301
270	102589	275970
271	102964	275580
272	103358	275244
273	103757	274920
274	104178	274651
275	104541	274231
276	104949	273930
277	105324	273539
278	105721	273208
279	106111	272856
280	106473	272435
281	106835	272012
282	107159	271495
283	107568	271192
284	107973	270880
285	108308	270393
286	108703	270054
287	109109	269742
288	109520	269442
289	109937	269158
290	110300	268739
291	110715	268446
292	111113	268112
293	111475	267692
294	111868	267345
295	112265	267010
296	112662	266672
297	113040	266290
298	113433	265941
299	113800	265534
300	114198	265197
301	114567	264794
302	114987	264509
303	115353	264097
304	115770	263805
305	116159	263447
306	116543	263077
307	116905	262656
308	117308	262331
309	117692	261959
310	118076	261591
311	118425	261142
312	118850	260863
313	119222	260467
314	119620	260126
315	119994	259735
316	120404	259420
317	120777	259026
318	121132	258592
319	121478	258142
320	121891	257832
321	122276	257463
322	122648	257068
323	123003	256637
324	123372	256235
325	123642	255629
326	124022	255251
327	124337	254740
328	124711	254350
329	125114	254020
330	125497	253649
331	125892	253302
332	126304	252987
333	126709	252660
334	127087	252277
335	127492	251949
336	127903	251631
337	128307	251301
338	128645	250839
339	129000	250413
340	129385	250044
341	129769	249674
342	130139	249276
343	130464	248792
344	130869	248462
345	131179	247952
346	131559	247574
347	131930	247180
348	132336	246851
349	132665	246378
350	133025	245964
351	133405	245587
352	133804	245245
353	134185	244869
354	134531	244429
355	134903	244039
356	135294	243681
357	135669	243295
358	136059	242935
359	136473	242619
360	136868	242269
361	137232	241863
362	137629	241515
363	138035	241182
364	138372	240729
365	138747	240343
366	139152	240009
367	139547	239656
368	139933	239289
369	140267	238833
370	140635	238436
371	141000	238032
372	141411	237707
373	141812	237364
374	142215	237026
375	142614	236678
376	143005	236319
377	143398	235963
378	143785	235595
379	144196	235267
380	144603	234932
381	145022	234617
382	145396	234229
383	145810	233904
384	146224	233579
385	146640	233256
386	147007	232856
387	147369	232448
388	147743	232060
389	148122	231678
390	148485	231273
391	148883	230920
392	149277	230563
393	149652	230175
394	150054	229830
395	150416	229422
396	150805	229057
397	151195	228692
398	151597	228346
399	151976	227964
400	152375	227613
401	152661	227094
402	153052	226729
403	153445	226369
404	153853	226031
405	154198	225601
406	154546	225174
407	154928	224798
408	155271	224365
409	155603	223917
410	156027	223601
411	156377	223179
412	156744	222781
413	157114	222389
414	157502	222022
415	157858	221609
416	158180	221148
417	158579	220796
418	158983	220452
419	159331	220029
420	159728	219673
421	160111	219299
422	160449	218863
423	160874	218546
424	161224	218126
425	161616	217764
426	162018	217415
427	162402	217041
428	162799	216686
429	163132	216244
430	163548	215914
431	163953	215568
432	164291	215134
433	164701	214795
