iter	Accuracy	MultiClass
0	0.7298190236	1.049807087
1	0.7361952862	1.006462171
2	0.7400462963	0.968904649
3	0.7442760943	0.9340031965
4	0.7448442761	0.9036483328
5	0.7453914141	0.8765655517
6	0.7466540404	0.8529568565
7	0.750273569	0.8302136875
8	0.7520833333	0.8099583712
9	0.7538720539	0.7913768378
10	0.7545664983	0.774616018
11	0.7566287879	0.7590284608
12	0.7593855219	0.7435945542
13	0.7620580808	0.7293990019
14	0.7632575758	0.7171733106
15	0.7648779461	0.7055401539
16	0.7658459596	0.6946960679
17	0.766266835	0.6845396445
18	0.7686868687	0.674133255
19	0.7700757576	0.6654642386
20	0.770770202	0.6570614307
21	0.7722222222	0.6486268218
22	0.7736321549	0.6410880396
23	0.7749158249	0.6343327381
24	0.7752525253	0.6283024725
25	0.7762415825	0.6222519616
26	0.7773358586	0.6165068428
27	0.7779882155	0.6116741943
28	0.7781986532	0.6076022726
29	0.778766835	0.6035653984
30	0.7794402357	0.5989180326
31	0.7803030303	0.594667988
32	0.780787037	0.5901957402
33	0.7812289562	0.5865552519
34	0.7817550505	0.5831427016
35	0.7822180135	0.5794244862
36	0.7827651515	0.5768846974
37	0.7833543771	0.5733860363
38	0.7840909091	0.5704462554
39	0.7844276094	0.5680962379
40	0.7846380471	0.5656295312
41	0.7850589226	0.5626830355
42	0.784743266	0.5608318901
43	0.7856902357	0.5583402907
44	0.7864267677	0.5560366465
45	0.7862794613	0.554070239
46	0.7867424242	0.5525696198
47	0.786763468	0.5507323858
48	0.7868476431	0.5489383584
49	0.7876052189	0.5470785773
50	0.7880260943	0.5452725643
51	0.7884890572	0.5434316405
52	0.7888257576	0.5416974817
53	0.7894149832	0.5401502341
54	0.7900042088	0.5387238556
55	0.7901725589	0.5372211981
56	0.7903619529	0.5358969677
57	0.7910143098	0.5343668288
58	0.7911616162	0.5328839738
59	0.7916456229	0.5312645439
60	0.7918771044	0.5296782562
61	0.7926557239	0.528338846
62	0.7933712121	0.5268499272
63	0.7938341751	0.5252171999
64	0.7936447811	0.5240483018
65	0.7939393939	0.5230456864
66	0.7942760943	0.5222379208
67	0.7944654882	0.521005145
68	0.7950757576	0.5196746242
69	0.7950126263	0.5184852802
70	0.7953703704	0.5175561509
71	0.7956018519	0.5165003391
72	0.7957912458	0.5155443113
73	0.7961700337	0.5145066256
74	0.7967382155	0.5132372812
75	0.7971170034	0.5119858327
76	0.7974537037	0.5114346335
77	0.7976010101	0.5106128911
78	0.797790404	0.5098208376
79	0.7980218855	0.5087364483
80	0.7984848485	0.5076984026
81	0.7990109428	0.5068511428
82	0.799263468	0.5058620773
83	0.7994949495	0.5050950807
84	0.7998106061	0.5042685673
85	0.799726431	0.5038249844
86	0.8	0.5028292752
87	0.8004419192	0.5020898974
88	0.8009890572	0.5012944007
89	0.8012626263	0.5001795124
90	0.8014099327	0.4991908827
91	0.8014309764	0.4986780612
92	0.801746633	0.4977553617
