iter	Accuracy	MultiClass
0	0.7304503367	1.04982415
1	0.7407407407	1.005738984
2	0.7485058923	0.9668924847
3	0.7496632997	0.9332562915
4	0.7498316498	0.9030380395
5	0.75128367	0.8756340748
6	0.7520412458	0.8514798413
7	0.7519991582	0.830028605
8	0.7546296296	0.81012531
9	0.7541245791	0.7926687128
10	0.7569654882	0.7755462722
11	0.7592171717	0.7601613938
12	0.7599116162	0.745528074
13	0.7611952862	0.7320516566
14	0.7621212121	0.7200833412
15	0.7628577441	0.7091804753
16	0.7637626263	0.697976006
17	0.7645622896	0.6878290411
18	0.7659090909	0.6787126547
19	0.7661405724	0.6714635032
20	0.7671717172	0.6628323969
21	0.7679292929	0.6550978798
22	0.7689814815	0.6470910782
23	0.7696548822	0.6397227308
24	0.770223064	0.6337326299
25	0.7719486532	0.6272160624
26	0.772706229	0.6215699637
27	0.7734006734	0.6160017623
28	0.7738425926	0.610811535
29	0.7746212121	0.606395597
30	0.7753577441	0.6018197064
31	0.7757996633	0.5976030438
32	0.7764941077	0.5934866858
33	0.7771675084	0.5898769387
34	0.7776725589	0.5861266898
35	0.7787878788	0.5828143402
36	0.7791456229	0.5798135821
37	0.7799242424	0.5766993676
38	0.7802188552	0.5739325697
39	0.7811026936	0.5709244288
40	0.7815867003	0.5682466134
41	0.7821759259	0.5655557259
42	0.7832070707	0.5632122815
43	0.7836700337	0.5611473318
44	0.7839225589	0.5587512116
45	0.7843855219	0.5565335155
46	0.7843434343	0.5543309515
47	0.7850799663	0.5522449699
48	0.7863005051	0.5496433663
49	0.7868476431	0.547869474
50	0.787226431	0.5463964567
51	0.7878787879	0.5447759332
52	0.7883207071	0.5431973363
53	0.7892045455	0.5410944897
54	0.789709596	0.5392831068
55	0.7900252525	0.5376991834
56	0.7902356902	0.5362584233
57	0.7906565657	0.5346615339
58	0.7908038721	0.5331552521
59	0.791266835	0.5319315176
60	0.7920244108	0.5299728774
61	0.7922138047	0.5288113463
62	0.7922979798	0.5276921831
63	0.7925294613	0.5264456296
64	0.7930555556	0.5253682263
65	0.793202862	0.5243926268
66	0.7933291246	0.5235549921
67	0.7934974747	0.5224779254
68	0.7936237374	0.5212212212
69	0.7942760943	0.5201787393
70	0.794297138	0.5193662597
71	0.7948863636	0.5183035512
72	0.79503367	0.5173474351
73	0.795223064	0.5165009044
74	0.7955387205	0.5153059851
75	0.7959175084	0.5142542491
76	0.7963383838	0.51351801
77	0.7967382155	0.5126056636
78	0.7969276094	0.5119045585
79	0.7968644781	0.5109729153
80	0.7969907407	0.5104042145
81	0.7970749158	0.5096226195
82	0.7972011785	0.5089018433
83	0.7978114478	0.5076499339
84	0.7981271044	0.5068187795
85	0.7984638047	0.5057631889
86	0.7988846801	0.5046310865
87	0.7991372054	0.5036002948
88	0.7996001684	0.5027725365
89	0.7997685185	0.5020029034
90	0.8	0.5011320929
91	0.8000420875	0.5007114694
92	0.8003998316	0.4999228404
93	0.8008627946	0.4991290134
94	0.8008417508	0.4984177301
95	0.8012205387	0.4978898263
96	0.8013047138	0.4971015437
97	0.8014309764	0.4966055391
98	0.8014309764	0.4961449383
99	0.8018728956	0.4952844227
100	0.8021885522	0.494798031
101	0.802483165	0.4941753054
102	0.8028619529	0.4936068731
103	0.8029882155	0.4930305116
104	0.8031144781	0.492337384
105	0.8033459596	0.4913489874
106	0.8034722222	0.4908336843
107	0.8040193603	0.4899664906
108	0.8041456229	0.4893488601
109	0.8046506734	0.4888227759
110	0.8047558923	0.488419797
111	0.8048821549	0.4881350218
112	0.8050715488	0.4874749237
113	0.8052609428	0.4866873564
114	0.8053030303	0.4859823706
115	0.8053030303	0.4857428671
116	0.8056186869	0.4853218123
117	0.8058291246	0.4848886441
118	0.8062079125	0.4841675324
119	0.8061868687	0.4837805213
120	0.8065025253	0.4832971668
121	0.8065656566	0.4830181877
122	0.8067340067	0.4825450602
123	0.8067760943	0.4819350962
124	0.8069234007	0.4815967897
125	0.8068602694	0.4814193105
126	0.8077020202	0.4804448066
127	0.8080387205	0.4799069955
128	0.8081018519	0.479061988
129	0.8084175084	0.4787355425
130	0.808543771	0.478466663
131	0.8086279461	0.4781067869
132	0.8088173401	0.4773049877
133	0.8089436027	0.4769207435
134	0.8091540404	0.4765225455
135	0.8093434343	0.4761217945
136	0.8097222222	0.4753477377
137	0.8100378788	0.4747239444
138	0.8105218855	0.4740805847
139	0.8105850168	0.4736975844
140	0.8107323232	0.4731972152
141	0.8109427609	0.4728503885
142	0.8107954545	0.4724916462
143	0.8110058923	0.4719036689
144	0.8109848485	0.4714765908
145	0.8113636364	0.4709723968
146	0.8115951178	0.4706822954
147	0.8116161616	0.4706781337
148	0.8116582492	0.4704446317
149	0.8121843434	0.4697986646
150	0.8122474747	0.469485275
151	0.8124789562	0.4685656955
152	0.8126262626	0.4680088572
153	0.8126262626	0.4678149506
154	0.8126893939	0.4676124651
155	0.8130892256	0.4669104471
156	0.8132154882	0.4667152415
157	0.8132575758	0.4663451602
158	0.8131944444	0.465929368
159	0.8134048822	0.465726803
160	0.8136784512	0.4651729268
161	0.8138257576	0.4647352576
162	0.81378367	0.4645759684
163	0.8139309764	0.4643119034
164	0.8142045455	0.4636865253
165	0.8143728956	0.4633775585
166	0.8146885522	0.46285344
167	0.8148358586	0.4620891951
168	0.8151304714	0.4616772672
169	0.8150673401	0.4613453239
170	0.8151515152	0.4611521433
171	0.8152777778	0.460820545
172	0.8154671717	0.460569124
173	0.8157407407	0.4601673134
174	0.8157828283	0.4599309942
175	0.8158038721	0.4596507158
176	0.8160774411	0.4591397676
177	0.8163930976	0.4584995853
178	0.8163930976	0.4581950868
179	0.8166666667	0.4577687415
180	0.816456229	0.4573241416
181	0.817003367	0.4568847968
182	0.8171296296	0.4565361001
183	0.8171717172	0.4562111179
184	0.8172979798	0.4560486908
185	0.8176346801	0.4559377515
186	0.8175715488	0.4555175776
187	0.8179924242	0.4548731579
188	0.8182659933	0.4546766984
189	0.8182239057	0.4544843409
190	0.8185185185	0.4541947917
191	0.8186658249	0.4539607922
192	0.8188341751	0.4536353634
193	0.8188341751	0.4531809716
194	0.8187920875	0.4530090772
195	0.8188973064	0.4526135808
196	0.8187710438	0.4523144292
197	0.8190025253	0.4518697171
