iter	Passed	Remaining
0	368	368560
1	762	380512
2	1168	388238
3	1525	379969
4	1855	369231
5	2243	371736
6	2627	372778
7	3020	374570
8	3391	373471
9	3732	369479
10	4131	371487
11	4509	371288
12	4910	372839
13	5267	370948
14	5609	368385
15	5992	368514
16	6340	366653
17	6721	366719
18	7090	366072
19	7470	366073
20	7821	364608
21	8192	364198
22	8549	363156
23	8908	362270
24	9248	360685
25	9623	360504
26	9984	359813
27	10356	359526
28	10719	358931
29	11070	357946
30	11411	356691
31	11772	356103
32	12171	356668
33	12540	356310
34	12903	355778
35	13303	356245
36	13640	355016
37	14018	354879
38	14380	354353
39	14744	353863
40	15162	354654
41	15549	354684
42	15923	354396
43	16262	353349
44	16603	352358
45	16986	352280
46	17339	351587
47	17703	351117
48	18051	350355
49	18407	349747
50	18754	348985
51	19162	349348
52	19543	349201
53	19955	349588
54	20289	348611
55	20614	347502
56	20980	347093
57	21367	347034
58	21743	346790
59	22094	346145
60	22471	345916
61	22854	345773
62	23222	345392
63	23593	345056
64	23952	344550
65	24320	344167
66	24658	343385
67	25036	343142
68	25421	343012
69	25838	343283
70	26214	342999
71	26581	342609
72	26950	342232
73	27332	342030
74	27744	342185
75	28149	342236
76	28557	342324
77	28963	342367
78	29366	342364
79	29778	342457
80	30142	341990
81	30552	342044
82	30923	341651
83	31334	341693
84	31714	341401
85	32066	340799
86	32472	340778
87	32876	340716
88	33284	340697
89	33662	340368
90	34035	339981
91	34436	339868
92	34822	339615
93	35224	339499
94	35603	339168
95	36018	339171
96	36382	338694
97	36789	338616
98	37187	338439
99	37587	338285
100	37991	338164
101	38304	337227
102	38675	336812
103	39069	336603
104	39429	336087
105	39812	335781
106	40202	335519
107	40551	334924
108	40938	334644
109	41318	334307
110	41714	334088
111	42126	334001
112	42515	333729
113	42966	333935
114	43374	333794
115	43712	333122
116	44127	333033
117	44538	332909
118	44920	332560
119	45221	331624
120	45589	331185
121	45959	330760
122	46373	330648
123	46775	330447
124	47173	330212
125	47558	329887
126	47996	329932
127	48403	329750
128	48780	329363
129	49166	329037
130	49530	328561
131	49910	328201
132	50299	327894
133	50607	327057
134	51012	326860
135	51327	326077
136	51737	325910
137	52148	325739
138	52495	325172
139	52881	324841
140	53278	324580
141	53673	324306
142	54038	323856
143	54439	323610
144	54841	323374
145	55225	323032
146	55640	322866
147	56007	322423
148	56426	322272
149	56799	321862
150	57124	321181
151	57461	320575
152	57824	320115
153	58225	319859
154	58633	319644
155	59033	319387
156	59421	319058
157	59822	318801
158	60199	318413
159	60590	318102
160	61007	317922
161	61409	317663
162	61749	317082
163	62101	316564
164	62510	316339
165	62923	316132
166	63330	315894
167	63730	315617
168	64103	315205
169	64540	315108
170	64953	314890
171	65338	314534
172	65730	314214
173	66118	313874
174	66518	313586
175	66914	313279
176	67323	313034
177	67712	312695
178	68076	312241
179	68475	311942
180	68868	311620
181	69214	311086
182	69630	310862
183	70019	310520
184	70392	310106
185	70773	309728
186	71158	309369
187	71562	309089
188	71972	308836
189	72376	308552
190	72759	308181
191	73145	307820
192	73486	307272
193	73863	306877
194	74240	306481
195	74606	306038
196	74979	305626
197	75304	305019
198	75710	304743
199	76122	304488
200	76521	304181
201	76940	303951
202	77319	303565
203	77732	303307
204	78116	302939
205	78497	302558
206	78889	302220
207	79287	301901
208	79692	301610
209	80094	301308
210	80492	300988
211	80909	300740
212	81320	300465
213	81673	299976
214	82046	299566
215	82450	299264
216	82834	298890
217	83224	298539
218	83626	298231
219	83964	297691
220	84362	297368
221	84755	297026
222	85164	296738
223	85518	296262
224	85887	295835
225	86280	295489
226	86676	295158
227	87062	294789
228	87365	294142
229	87734	293720
230	88065	293171
231	88463	292844
232	88814	292364
233	89216	292049
234	89592	291651
235	89976	291280
236	90346	290863
237	90715	290443
238	91101	290074
239	91505	289766
240	91913	289471
241	92321	289172
242	92718	288839
243	93107	288479
244	93437	287941
245	93815	287548
246	94140	286995
247	94553	286711
248	94988	286492
249	95392	286176
250	95811	285908
251	96213	285587
252	96578	285154
253	96937	284706
254	97310	284298
255	97717	283991
256	98136	283717
257	98550	283428
258	98934	283051
259	99320	282682
260	99710	282321
261	100026	281753
262	100435	281449
263	100769	280932
264	101109	280436
265	101525	280148
266	101886	279709
267	102296	279407
268	102688	279053
269	103116	278796
270	103492	278399
271	103897	278077
272	104256	277635
273	104638	277254
274	105022	276876
275	105399	276482
276	105780	276099
277	106108	275576
278	106443	275073
279	106865	274796
280	107274	274486
281	107671	274142
282	108072	273808
283	108443	273398
284	108815	272994
285	109231	272696
286	109627	272349
287	110046	272060
288	110365	271521
289	110757	271165
290	111124	270747
291	111438	270200
292	111795	269759
293	112165	269350
294	112557	268992
295	112968	268682
296	113371	268351
297	113771	268011
298	114188	267712
299	114590	267378
300	114990	267037
301	115368	266647
302	115745	266252
303	116082	265767
304	116461	265378
305	116828	264962
306	117220	264605
307	117578	264169
308	117944	263752
309	118337	263396
310	118745	263072
311	119082	262591
312	119496	262281
313	119896	261939
314	120297	261600
315	120704	261271
316	121030	260768
317	121330	260211
318	121713	259833
319	122097	259457
320	122424	258960
321	122800	258567
322	123215	258256
323	123583	257847
324	123981	257500
325	124311	257011
326	124656	256555
327	125024	256147
328	125428	255812
329	125799	255411
330	126174	255018
331	126588	254701
332	126933	254248
333	127306	253850
334	127696	253486
335	128103	253156
336	128402	252614
337	128808	252281
338	129197	251915
339	129616	251609
340	130029	251289
341	130442	250968
342	130844	250626
343	131264	250319
344	131642	249929
345	132053	249604
346	132378	249116
347	132785	248781
348	133154	248377
349	133549	248020
350	133924	247625
351	134334	247298
352	134732	246945
353	135144	246619
354	135457	246112
355	135845	245742
356	136248	245400
357	136588	244943
358	136980	244580
359	137380	244231
360	137767	243860
361	138175	243525
362	138583	243189
363	138995	242860
364	139375	242474
365	139775	242125
366	140134	241704
367	140538	241359
368	140894	240933
369	141297	240588
370	141653	240161
371	142057	239817
372	142465	239479
373	142821	239054
374	143179	238631
375	143537	238211
376	143869	237747
377	144238	237345
378	144635	236987
379	145040	236644
380	145468	236337
381	145836	235935
382	146206	235533
383	146499	235009
384	146910	234674
385	147307	234317
386	147646	233869
387	148004	233450
388	148351	233014
389	148736	232638
390	149110	232246
391	149484	231853
392	149860	231463
393	150270	231127
394	150598	230664
395	150976	230277
396	151390	229945
397	151740	229516
398	152149	229176
399	152519	228778
400	152858	228334
401	153237	227950
402	153601	227544
403	154012	227206
404	154441	226896
405	154829	226523
406	155237	226182
407	155643	225835
408	156070	225519
409	156456	225144
410	156868	224806
411	157246	224419
412	157650	224069
413	158059	223726
414	158433	223334
415	158842	222989
416	159258	222656
417	159670	222316
418	160017	221885
419	160400	221505
420	160807	221157
421	161235	220839
422	161620	220461
423	162025	220109
424	162394	219710
425	162802	219363
426	163218	219025
427	163620	218670
428	163968	218242
429	164382	217902
430	164756	217509
431	165162	217158
432	165495	216711
433	165840	216280
434	166233	215912
435	166579	215484
436	166971	215114
437	167351	214729
438	167760	214382
439	168174	214040
440	168532	213627
441	168921	213253
442	169305	212874
443	169684	212487
444	170084	212127
445	170504	211792
446	170861	211379
447	171254	211010
448	171614	210600
449	171980	210198
450	172351	209803
451	172700	209380
452	173105	209025
453	173404	208544
454	173775	208148
455	174167	207778
456	174532	207376
457	174904	206982
458	175322	206643
459	175719	206279
460	176093	205888
461	176478	205509
462	176897	205170
463	177271	204779
464	177635	204376
465	177984	203956
466	178387	203598
467	178745	203189
468	179161	202845
469	179507	202423
470	179880	202031
471	180292	201682
472	180657	201282
473	181032	200893
474	181452	200552
475	181851	200188
476	182257	199834
477	182668	199482
478	183058	199109
479	183441	198727
480	183831	198354
481	184245	198006
482	184598	197593
483	184994	197226
484	185373	196839
485	185741	196442
486	186134	196071
487	186549	195724
488	186940	195351
489	187356	195003
490	187750	194633
491	188165	194284
492	188562	193917
493	188948	193538
494	189369	193195
495	189779	192840
496	190105	192400
497	190447	191977
498	190809	191574
499	191168	191168
500	191570	190805
501	191943	190414
502	192361	190067
503	192777	189717
504	193189	189364
505	193590	188999
506	193990	188633
507	194356	188234
508	194771	187884
509	195179	187525
510	195549	187130
511	195961	186775
512	196352	186400
513	196747	186029
514	197155	185670
515	197555	185303
516	197890	184876
517	198294	184513
518	198699	184151
519	199112	183796
520	199502	183419
521	199865	183018
522	200240	182628
523	200545	182174
524	200904	181770
525	201293	181393
526	201657	180994
527	202060	180629
528	202446	180249
529	202857	179892
530	203263	179530
531	203676	179173
532	204042	178776
533	204444	178410
534	204821	178022
535	205185	177623
536	205581	177251
537	205972	176876
538	206356	176494
539	206649	176035
540	207010	175633
541	207396	175253
542	207789	174879
543	208192	174514
544	208550	174111
545	208934	173729
546	209311	173342
547	209677	172945
548	209999	172513
549	210346	172101
550	210688	171685
551	211108	171334
552	211502	170961
553	211904	170594
554	212309	170230
555	212725	169873
556	213113	169496
557	213503	169119
558	213910	168755
559	214313	168389
560	214658	167977
561	214938	167514
562	215315	167127
563	215707	166752
564	216115	166389
565	216521	166025
566	216856	165606
567	217266	165245
568	217682	164887
569	218096	164529
570	218487	164152
571	218893	163787
572	219236	163374
573	219608	162984
574	220019	162623
575	220427	162258
576	220828	161889
577	221236	161525
578	221627	161149
579	221978	160743
580	222383	160376
581	222803	160020
582	223205	159651
583	223605	159280
584	223985	158895
585	224389	158527
586	224734	158118
587	225154	157761
588	225520	157366
589	225939	157008
590	226336	156635
591	226742	156268
592	227167	155914
593	227476	155480
594	227865	155101
595	228251	154720
596	228647	154346
597	229059	153983
598	229469	153618
599	229841	153227
600	230183	152817
601	230592	152451
602	230952	152053
603	231369	151692
604	231750	151308
605	232091	150897
606	232424	150482
607	232813	150103
608	233219	149735
609	233589	149344
610	233963	148955
611	234370	148587
612	234639	148132
613	234975	147720
614	235386	147356
615	235761	146968
616	236171	146602
617	236577	146233
618	236905	145817
619	237279	145429
620	237665	145048
621	238041	144661
622	238450	144295
623	238793	143888
624	239198	143519
625	239536	143109
626	239893	142711
627	240316	142353
628	240639	141935
629	240929	141498
630	241293	141105
631	241669	140718
632	242048	140334
633	242475	139977
634	242841	139586
635	243191	139185
636	243569	138800
637	243934	138408
638	244281	138005
639	244656	137619
640	245058	137247
641	245457	136875
642	245836	136490
643	246243	136122
644	246646	135751
645	247027	135367
646	247381	134970
647	247715	134561
648	248115	134188
649	248403	133755
650	248754	133356
651	249129	132970
652	249523	132595
653	249914	132217
654	250307	131841
655	250661	131444
656	251074	131078
657	251413	130673
658	251697	130240
659	252068	129853
660	252428	129460
661	252776	129061
662	253124	128661
663	253510	128282
664	253886	127897
665	254279	127521
666	254645	127131
667	255050	126761
668	255360	126344
669	255711	125947
670	256126	125582
671	256543	125217
672	256958	124852
673	257348	124474
674	257752	124103
675	258165	123736
676	258508	123335
677	258886	122952
678	259300	122585
679	259660	122193
680	260057	121818
681	260395	121415
682	260803	121046
683	261187	120665
684	261525	120263
685	261866	119863
686	262241	119478
687	262592	119082
688	262976	118702
689	263381	118330
690	263759	117947
691	264132	117561
692	264549	117195
693	264922	116810
694	265288	116421
695	265690	116048
696	266060	115662
697	266474	115294
698	266877	114921
699	267295	114555
700	267683	114175
701	268087	113803
702	268496	113432
703	268911	113064
704	269326	112696
705	269691	112307
706	270097	111935
707	270478	111553
708	270849	111166
709	271236	110786
710	271641	110414
711	272032	110035
712	272450	109668
713	272809	109276
714	273199	108897
715	273498	108482
716	273860	108092
717	274225	107704
718	274626	107329
719	275018	106951
720	275436	106583
721	275839	106209
722	276243	105836
723	276651	105463
724	277055	105090
725	277478	104723
726	277891	104352
727	278276	103971
728	278666	103591
729	279080	103221
730	279481	102846
731	279825	102449
732	280203	102065
733	280606	101691
734	281014	101318
735	281413	100941
736	281789	100557
737	282166	100172
738	282472	99763
739	282858	99382
740	283267	99009
741	283630	98620
742	284027	98243
743	284413	97862
744	284792	97479
745	285153	97089
746	285564	96717
747	285935	96331
748	286328	95952
749	286630	95543
750	286968	95146
751	287343	94762
752	287720	94378
753	288098	93995
754	288511	93622
755	288886	93238
756	289263	92854
757	289674	92481
758	290044	92095
759	290463	91725
760	290877	91353
761	291288	90980
762	291692	90604
763	292060	90217
764	292434	89832
765	292830	89454
766	293237	89080
767	293652	88707
768	294074	88337
769	294466	87957
770	294881	87584
771	295280	87207
772	295667	86825
773	296070	86449
774	296487	86076
775	296857	85690
776	297236	85307
777	297654	84934
778	298015	84546
779	298399	84163
780	298783	83781
781	299121	83386
782	299508	83005
783	299915	82629
784	300266	82238
785	300665	81860
786	300984	81460
787	301389	81084
788	301756	80697
789	302148	80317
790	302502	79927
791	302914	79553
792	303269	79163
793	303664	78784
794	304058	78404
795	304411	78014
796	304743	77619
797	305144	77242
798	305516	76857
799	305895	76473
800	306295	76095
801	306667	75710
802	307089	75338
803	307460	74953
804	307823	74565
805	308244	74192
806	308596	73803
807	308972	73419
808	309396	73046
809	309780	72664
810	310174	72284
811	310565	71904
812	310954	71523
813	311336	71140
814	311730	70760
815	312141	70384
816	312558	70010
817	312976	69635
818	313349	69250
819	313754	68872
820	314119	68486
821	314533	68110
822	314911	67727
823	315324	67350
824	315717	66970
825	316122	66592
826	316522	66213
827	316888	65827
828	317276	65445
829	317651	65061
830	318050	64681
831	318428	64298
832	318829	63918
833	319202	63534
834	319585	63151
835	319990	62773
836	320408	62397
837	320811	62018
838	321211	61638
839	321502	61238
840	321921	60862
841	322314	60481
842	322696	60098
843	323046	59710
844	323448	59330
845	323856	58952
846	324242	58570
847	324579	58179
848	324980	57799
849	325389	57421
850	325796	57043
851	326145	56654
852	326462	56260
853	326816	55872
854	327176	55486
855	327550	55101
856	327839	54703
857	328224	54321
858	328574	53933
859	328927	53546
860	329311	53164
861	329687	52780
862	330083	52400
863	330464	52017
864	330845	51634
865	331269	51258
866	331677	50880
867	332037	50494
868	332366	50103
869	332769	49724
870	333133	49338
871	333501	48954
872	333829	48564
873	334190	48178
874	334622	47803
875	335001	47420
876	335407	47041
877	335809	46661
878	336191	46278
879	336599	45899
880	336904	45506
881	337316	45128
882	337606	44733
883	337975	44349
884	338349	43966
885	338670	43576
886	339082	43197
887	339425	42810
888	339804	42427
889	340179	42044
890	340604	41667
891	341001	41287
892	341406	40907
893	341757	40521
894	342125	40137
895	342536	39758
896	342883	39372
897	343273	38990
898	343684	38611
899	344076	38230
900	344475	37850
901	344854	37467
902	345258	37087
903	345646	36705
904	345996	36320
905	346442	35944
906	346780	35557
907	347186	35177
908	347540	34792
909	347932	34410
910	348356	34032
911	348749	33651
912	349113	33267
913	349479	32883
914	349888	32503
915	350236	32117
916	350648	31738
917	351051	31357
918	351454	30976
919	351847	30595
920	352257	30215
921	352664	29834
922	353030	29451
923	353439	29070
924	353820	28688
925	354232	28308
926	354586	27923
927	354960	27540
928	355366	27159
929	355733	26775
930	356159	26396
931	356532	26013
932	356914	25630
933	357322	25249
934	357729	24868
935	358120	24486
936	358501	24104
937	358795	23715
938	359159	23331
939	359558	22950
940	359949	22568
941	360339	22186
942	360663	21800
943	361078	21419
944	361494	21039
945	361845	20655
946	362226	20272
947	362605	19889
948	363016	19508
949	363423	19127
950	363827	18746
951	364229	18364
952	364640	17983
953	365041	17601
954	365440	17219
955	365804	16836
956	366227	16455
957	366607	16072
958	366926	15687
959	367335	15305
960	367682	14921
961	368021	14537
962	368410	14154
963	368766	13771
964	369180	13389
965	369577	13007
966	369996	12626
967	370415	12245
968	370765	11861
969	371195	11480
970	371603	11098
971	372002	10716
972	372411	10334
973	372798	9951
974	373209	9569
975	373538	9185
976	373930	8802
977	374336	8420
978	374698	8037
979	375044	7653
980	375425	7271
981	375776	6887
982	376103	6504
983	376482	6121
984	376858	5738
985	377232	5356
986	377644	4974
987	378060	4591
988	378410	4208
989	378770	3825
990	379133	3443
991	379520	3060
992	379920	2678
993	380264	2295
994	380646	1912
995	381032	1530
996	381444	1147
997	381858	765
998	382239	382
999	382604	0
