iter	Accuracy	MultiClass
257	0.828219697	0.4297209886
258	0.8283038721	0.4295723097
259	0.8281776094	0.42944766
260	0.8285143098	0.4290913756
261	0.8284511785	0.4289435269
262	0.8285774411	0.4288151125
263	0.828493266	0.4282609368
264	0.8287037037	0.4280892953
265	0.828493266	0.427885841
266	0.8287457912	0.4276927972
267	0.8289141414	0.4271448474
268	0.8289983165	0.4268136529
269	0.8293139731	0.4264878939
270	0.829776936	0.4259286745
271	0.8300925926	0.425634614
272	0.8301346801	0.4255833402
273	0.8305765993	0.4250493223
274	0.8308080808	0.424591819
275	0.8310606061	0.424236624
276	0.8313762626	0.4238223685
277	0.8313341751	0.4235254292
278	0.8315025253	0.4232023689
279	0.8313973064	0.4229512979
280	0.8318813131	0.4223501808
281	0.8318392256	0.4222197897
282	0.8319023569	0.4220796282
283	0.8320707071	0.4218555253
284	0.8321548822	0.4216657911
285	0.8322390572	0.4215196668
286	0.832260101	0.4213739805
287	0.8324705387	0.4211005613
288	0.8325968013	0.4207971239
289	0.8326388889	0.4204546511
290	0.8329755892	0.4201239887
291	0.8330808081	0.4197712185
292	0.8330808081	0.4193367027
293	0.8333543771	0.4190791303
294	0.8333543771	0.4187661051
295	0.8336069024	0.418311986
296	0.8338383838	0.4180182836
297	0.8340909091	0.4176800509
298	0.8341750842	0.4175504196
299	0.8342592593	0.4174249897
300	0.8344065657	0.4171228429
301	0.834469697	0.4166399602
302	0.8349116162	0.4162966654
303	0.8348484848	0.4161190798
304	0.8348695286	0.4158862442
305	0.8354587542	0.415375697
306	0.8356060606	0.415153519
307	0.8356481481	0.414917412
308	0.8355850168	0.4147662058
309	0.8356271044	0.4146796928
310	0.8358375421	0.4142694283
311	0.8358796296	0.4140004247
312	0.8361952862	0.4134426578
313	0.8362584175	0.4131545589
314	0.8363425926	0.4130282017
315	0.8363846801	0.412708425
316	0.8363846801	0.4124191722
317	0.8365530303	0.4122091185
318	0.8367003367	0.4120014945
319	0.8368897306	0.4118137981
320	0.8370159933	0.4115344663
321	0.8371843434	0.41129274
322	0.8373526936	0.4109291994
323	0.8373526936	0.4108466052
324	0.8374579125	0.41065166
325	0.8375210438	0.4104279952
326	0.8376052189	0.4102720555
327	0.8376262626	0.4101098854
328	0.8376262626	0.4100263825
329	0.8378787879	0.4096491809
