iter	Accuracy	MultiClass
0	0.7365319865	1.047965958
1	0.741266835	1.004140245
2	0.744297138	0.9657457026
3	0.7473274411	0.9317584275
4	0.7471590909	0.9017943293
5	0.7487794613	0.8751968843
6	0.750273569	0.8511728708
7	0.7528409091	0.8282420186
8	0.7546506734	0.8084609802
9	0.7550294613	0.7900849025
10	0.756523569	0.7727483326
11	0.7597011785	0.7570268626
12	0.7614267677	0.7426069263
13	0.7623947811	0.7294677395
14	0.7627946128	0.7166564776
15	0.763510101	0.7057241175
16	0.7654671717	0.6953052335
17	0.7660353535	0.6857440389
18	0.7662878788	0.6769694957
19	0.7668560606	0.6694312948
20	0.7673400673	0.6617463619
21	0.767739899	0.6538698357
22	0.7692760943	0.646821249
23	0.7693392256	0.6405384757
24	0.7710648148	0.6342853879
25	0.7716119529	0.6284066701
26	0.772979798	0.622825633
27	0.7737794613	0.6177707949
28	0.7742424242	0.612772444
29	0.7750210438	0.6079680974
30	0.7757996633	0.6033796614
31	0.7767255892	0.5988388538
32	0.7769991582	0.5954047964
33	0.7780723906	0.5911110391
34	0.7783459596	0.5874815595
35	0.7785774411	0.5837393675
36	0.7790614478	0.5811028655
37	0.7800084175	0.5777362849
38	0.780702862	0.5746758655
39	0.7811026936	0.5720360477
40	0.7815867003	0.5696011709
41	0.7827020202	0.5670596344
42	0.7835016835	0.5646432162
43	0.7841329966	0.5624192655
44	0.7843644781	0.5600072056
45	0.7848484848	0.5577091798
46	0.7855639731	0.5556194429
47	0.785479798	0.5540319522
48	0.7860900673	0.5521217604
49	0.7861952862	0.5502143503
50	0.7865530303	0.548050794
51	0.7873526936	0.5462257386
52	0.7877314815	0.5449087923
53	0.788236532	0.5433555933
54	0.78878367	0.5418819167
55	0.7889520202	0.5404269482
56	0.7896043771	0.5390586284
57	0.7902777778	0.5375971752
58	0.7908249158	0.5359465565
59	0.7913510101	0.534754749
60	0.7914351852	0.5334280474
61	0.7918350168	0.5323357374
62	0.7922138047	0.531038855
63	0.7926557239	0.529718018
64	0.7928240741	0.5281845989
65	0.7935185185	0.5268588979
66	0.79375	0.5257897342
67	0.7940656566	0.524164567
68	0.7944654882	0.5230023885
69	0.7945707071	0.5218322207
70	0.7945286195	0.5212174711
71	0.7944654882	0.5203695531
